"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","","","2","","com.moh.yehia.testing.service.ProductServiceTest","","com.moh.yehia.testing.service.ProductServiceTest","","shouldReturnProducts",""
"passed","","","7","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","shouldReturnNullWhenNotFoundId",""
"passed","","","106","","com.moh.yehia.testing.controller.CategoryControllerTest","","com.moh.yehia.testing.controller.CategoryControllerTest","","shouldReturnCategoryWhenValidId",""
"passed","","","132","","com.moh.yehia.testing.controller.CategoryControllerTest","","com.moh.yehia.testing.controller.CategoryControllerTest","","shouldThrowAnExceptionWhenInvalidData",""
"passed","","","11","","com.moh.yehia.testing.controller.ProductControllerTest","","com.moh.yehia.testing.controller.ProductControllerTest","","shouldReturnProductWhenValidId",""
"passed","","","5","","com.moh.yehia.testing.service.CategoryServiceTest","","com.moh.yehia.testing.service.CategoryServiceTest","","shouldSaveCategoryWithValidData",""
"passed","","","14","","com.moh.yehia.testing.repository.ProductRepositoryTest","","com.moh.yehia.testing.repository.ProductRepositoryTest","","shouldReturnProducts",""
"passed","","","30","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","shouldReturnCategoryWhenValidId",""
"passed","","","147","","com.moh.yehia.testing.service.CategoryServiceTest","","com.moh.yehia.testing.service.CategoryServiceTest","","shouldReturnCategoryByValidCategoryId",""
"passed","","","2239","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","shouldReturnCategories",""
"passed","","","74","","com.moh.yehia.testing.controller.ProductControllerTest","","com.moh.yehia.testing.controller.ProductControllerTest","","shouldSaveProductWhenValidData",""
"failed","","","58","","com.moh.yehia.testing.controller.CategoryControllerTest","","com.moh.yehia.testing.controller.CategoryControllerTest","","shouldThrowAnExceptionWhenInvalidId",""
"passed","","","13","","com.moh.yehia.testing.repository.ProductRepositoryTest","","com.moh.yehia.testing.repository.ProductRepositoryTest","","shouldReturnNullWhenNotFoundId",""
"passed","","","3","","com.moh.yehia.testing.service.CategoryServiceTest","","com.moh.yehia.testing.service.CategoryServiceTest","","shouldReturnCategories",""
"passed","","","288","","com.moh.yehia.testing.controller.CategoryControllerTest","","com.moh.yehia.testing.controller.CategoryControllerTest","","shouldReturnAllCategories",""
"passed","","","2","","com.moh.yehia.testing.service.ProductServiceTest","","com.moh.yehia.testing.service.ProductServiceTest","","shouldReturnProductWithValidId",""
"passed","","","17","","com.moh.yehia.testing.repository.ProductRepositoryTest","","com.moh.yehia.testing.repository.ProductRepositoryTest","","shouldReturnProductWhenValidId",""
"passed","","","74","","com.moh.yehia.testing.service.ProductServiceTest","","com.moh.yehia.testing.service.ProductServiceTest","","shouldSaveProductWhenValidRequest",""
"passed","","","24","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","com.moh.yehia.testing.repository.CategoryRepositoryTest","","shouldSaveCategoryWithValidData",""
"passed","","","9","","com.moh.yehia.testing.controller.ProductControllerTest","","com.moh.yehia.testing.controller.ProductControllerTest","","shouldReturnAllProducts",""
"passed","","","11","","com.moh.yehia.testing.controller.ProductControllerTest","","com.moh.yehia.testing.controller.ProductControllerTest","","shouldThrowAnExceptionWhenInvalidProductId",""
"passed","","","18","","com.moh.yehia.testing.controller.ProductControllerTest","","com.moh.yehia.testing.controller.ProductControllerTest","","shouldThrowAnExceptionWhenInvalidProductRequest",""
"passed","","","428","","com.moh.yehia.testing.controller.CategoryControllerTest","","com.moh.yehia.testing.controller.CategoryControllerTest","","shouldSaveCategoryWhenValidData",""
"passed","","","70","","com.moh.yehia.testing.repository.ProductRepositoryTest","","com.moh.yehia.testing.repository.ProductRepositoryTest","","shouldSaveProductWhenValidData",""
